,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,prediction,signal_0.00_sigma,trade_result_0.00_sigma,equity_curve_0.00_sigma,noncomp_curve_0.00_sigma,correct_prediction_0.00_sigma,signal_0.25_sigma,trade_result_0.25_sigma,equity_curve_0.25_sigma,noncomp_curve_0.25_sigma,correct_prediction_0.25_sigma,signal_0.50_sigma,trade_result_0.50_sigma,equity_curve_0.50_sigma,noncomp_curve_0.50_sigma,correct_prediction_0.50_sigma,signal_1.00_sigma,trade_result_1.00_sigma,equity_curve_1.00_sigma,noncomp_curve_1.00_sigma,correct_prediction_1.00_sigma,signal_2.00_sigma,trade_result_2.00_sigma,equity_curve_2.00_sigma,noncomp_curve_2.00_sigma,correct_prediction_2.00_sigma,trade_0.00_sigma,trade_0.25_sigma,trade_0.50_sigma,trade_1.00_sigma,trade_2.00_sigma
3311,0.0015986284231499504,0.00030029856607449723,0.004586729295771308,0.0008794922089718771,0,0,0,1,0.0,0.0009365488176069636,0.0018839487565938118,0.0,-0.0015957446808509967,0.010272546954967376,0.0015986284231499504,0.0014551501953974366,1.0,0.0015986284231499504,1.127646398785488,0.17225753392007048,1,1.0,0.0015986284231499504,1.2984365063507874,0.3027648839860737,1.0,1.0,0.0015986284231499504,1.2891023707164386,0.2858952601329873,1.0,1.0,0.0015986284231499504,1.3794650277839238,0.34158268681110127,1.0,0.0,0.0,1.0299207973975737,0.03605380577809514,,1,1,1,1,0
3312,0.00041636788415710946,0.012579887190915295,0.00021989849948211848,0.012122858844137108,0,0,0,0,0.0,0.004210526315789442,-0.0010028832894570794,0.0023346471728431517,-0.0036228023441662316,-0.0009453055882100436,0.00041636788415710946,-4.994198388885707e-05,-1.0,-0.00041636788415710946,1.1271768830403481,0.17184116603591337,0,0.0,0.0,1.2984365063507874,0.3027648839860737,,0.0,0.0,1.2891023707164386,0.2858952601329873,,0.0,0.0,1.3794650277839238,0.34158268681110127,,0.0,0.0,1.0299207973975737,0.03605380577809514,,1,1,1,1,0
3313,0.011566741427547544,-0.0012258255792738648,0.009927970146663023,-0.0014793575361556899,1,0,0,0,-0.0077565632458233,0.007298703315474775,0.00520767975906633,0.01302631862720438,-0.007592770826649553,-0.0008612846485113179,0.011566741427547544,0.0030704354867339134,1.0,0.011566741427547544,1.1402146465895848,0.18340790746346092,1,1.0,0.011566741427547544,1.313455185679835,0.31433162541362125,1.0,1.0,0.011566741427547544,1.3040130845121543,0.2974620015605348,1.0,1.0,0.011566741427547544,1.395420943068645,0.3531494282386488,1.0,1.0,0.011566741427547544,1.041833624951925,0.04762054720564268,1.0,1,1,1,1,1
3314,0.0002171465796556582,-0.00022834047848752093,-0.003173675677843213,-0.003889781886201149,0,1,0,0,-0.0024052916416115178,0.0015416634548677255,0.0006241807627487272,-0.0023631267075897577,-0.0017241379310345417,-0.003982322373852321,0.0002171465796556582,-0.0010987180285155773,-1.0,-0.0002171465796556582,1.1399670528790047,0.18319076088380526,0,-1.0,-0.0002171465796556582,1.3131699733787336,0.3141144788339656,0.0,-1.0,-0.0002171465796556582,1.3037299225310262,0.29724485498087916,0.0,0.0,0.0,1.395420943068645,0.3531494282386488,,0.0,0.0,1.041833624951925,0.04762054720564268,,1,1,1,1,1
3315,-0.004473391036078467,-0.004933280803028461,-0.01983828236795071,-0.01253610662868887,0,0,1,0,-0.026522001205545487,-0.004386977603324738,-0.0009980662466471113,-0.005014866768149551,0.004209844559585507,0.00045102150275488917,-0.004473391036078467,0.00010556902998359874,1.0,-0.004473391036078467,1.1348675344832309,0.1787173698477268,0,0.0,-0.0,1.3131699733787336,0.3141144788339656,,0.0,-0.0,1.3037299225310262,0.29724485498087916,,0.0,-0.0,1.395420943068645,0.3531494282386488,,0.0,-0.0,1.041833624951925,0.04762054720564268,,1,1,1,0,0
3316,-0.012281064205862835,-0.008503899054930986,0.007065169593386322,0.0034078881561347973,0,0,0,1,0.01671826625386985,0.0010049474335187547,-0.00018732438339053026,0.007999885613789282,-0.0012899064817800676,-8.528992482292885e-05,-0.012281064205862835,0.0010918742045760155,1.0,-0.012281064205862835,1.120930153427093,0.16643630564186396,0,1.0,-0.012281064205862835,1.2970428486224583,0.30183341462810276,0.0,1.0,-0.012281064205862835,1.287718731645318,0.2849637907750163,0.0,0.0,-0.0,1.395420943068645,0.3531494282386488,,0.0,-0.0,1.041833624951925,0.04762054720564268,,0,1,1,0,0
3317,0.0018302035883610568,0.0019734824151720343,-0.0054902189101070364,-0.006375333256056548,0,0,0,0,-0.022533495736906217,0.0020851030967643513,0.0017486884836372951,0.004262532270419062,-0.0018297276934667872,0.0005239685131479543,0.0018302035883610568,0.0005324475350789726,1.0,0.0018302035883610568,1.1229816838161975,0.16826650923022501,1,1.0,0.0018302035883610568,1.2994167010982651,0.3036636182164638,1.0,0.0,0.0,1.287718731645318,0.2849637907750163,,0.0,0.0,1.395420943068645,0.3531494282386488,,0.0,0.0,1.041833624951925,0.04762054720564268,,0,0,1,0,0
3318,-0.004378664594292037,-0.005394727722200399,0.002558293378293719,0.00043163789080735704,1,0,0,0,0.024299065420560595,0.001310110974105827,-0.0012468827930174342,0.0002613049711504001,-0.00010782833728706365,0.0033370276096409413,-0.004378664594292037,0.0026165912859141827,1.0,-0.004378664594292037,1.118064523677233,0.16388784463593298,0,1.0,-0.004378664594292037,1.2937269911959344,0.2992849536221718,0.0,1.0,-0.004378664594292037,1.2820802432276561,0.2805851261807243,0.0,1.0,-0.004378664594292037,1.3893108627910968,0.3487707636443568,0.0,0.0,-0.0,1.041833624951925,0.04762054720564268,,0,0,1,1,0
3319,-0.0006873572859872334,-0.0037050372245903684,-0.012607004799887855,-0.010803782781580673,0,1,0,0,-0.008515815085158196,0.004925729238820953,0.004556803995006131,-0.005076464690681459,-0.0022646392753153943,-0.0026825922823882076,-0.0006873572859872334,0.00016255563241429627,1.0,-0.0006873572859872334,1.1172960138806798,0.16320048734994574,0,0.0,-0.0,1.2937269911959344,0.2992849536221718,,0.0,-0.0,1.2820802432276561,0.2805851261807243,,0.0,-0.0,1.3893108627910968,0.3487707636443568,,0.0,-0.0,1.041833624951925,0.04762054720564268,,0,1,1,1,0
3320,-0.01116849505112083,-0.005345068780601481,-0.0038972175404359266,-0.0017151849865318924,0,0,1,0,-0.019631901840490684,0.002757141763038762,0.0003106940905983624,-0.0017457332434446249,0.0015131863380890564,-0.003468756846230714,-0.01116849505112083,-0.0009366724989376962,-1.0,0.01116849505112083,1.129774528882343,0.17436898240106657,1,-1.0,0.01116849505112083,1.3081759746946076,0.3104534486732926,1.0,-1.0,0.01116849505112083,1.296399150079284,0.2917536212318451,1.0,0.0,-0.0,1.3893108627910968,0.3487707636443568,,0.0,-0.0,1.041833624951925,0.04762054720564268,,1,1,1,0,0
